R_mm,F_N,plan,E_star_GPa,a_mm,delta_um,p0_MPa,K_MN_m,h_um
5.0,50,Acier,115.38,0.118,2.76,1727.2,27.131,9875.61
5.0,50,Fonte,74.44,0.136,3.7,1289.6,20.257,11428.98
5.0,50,Alu,11.89,0.251,12.57,379.7,5.964,21062.81
5.0,500,Acier,115.38,0.253,12.83,3721.1,58.452,21276.35
5.0,500,Fonte,74.44,0.293,17.19,2778.4,43.642,24623.0
5.0,500,Alu,11.89,0.54,58.37,818.0,12.85,45378.45
100.0,50,Acier,115.38,0.319,1.02,234.4,73.644,1340.33
100.0,50,Fonte,74.44,0.369,1.36,175.0,54.986,1551.15
100.0,50,Alu,11.89,0.681,4.63,51.5,16.19,2858.66
100.0,500,Acier,115.38,0.688,4.73,505.0,158.662,2887.64
100.0,500,Fonte,74.44,0.796,6.33,377.1,118.463,3341.86
100.0,500,Alu,11.89,1.466,21.5,111.0,34.879,6158.8
